Designator,Mid X,Mid Y,Rotation,Layer
A1,136.57,-105.73,90.0,top
BUCK,227.5,-135.5575,180.0,top
C_LED1,202.5,-129.0,270.0,top
C_i2C1,147.4625,-101.875,0.0,top
Cbst1,225.05,-132.0,180.0,top
Cin1,232.54,-130.0075,0.0,top
Cout1,216.5,-123.975,270.0,top
Cout2,213.0,-123.975,270.0,top
D1,243.2125,-97.0,0.0,top
D2,246.3275,-128.0,180.0,top
E1,170.0,-100.5,180.0,top
E2,183.5,-100.5,180.0,top
F1,232.04,-121.0,180.0,top
F2,237.5,-102.0,270.0,top
J10,246.0,-116.08,90.0,top
J2,199.5,-139.5,90.0,top
J3,171.0,-130.0,0.0,top
J4,175.65,-130.0,0.0,top
J5,180.3,-130.0,0.0,top
J6,184.95,-130.0,0.0,top
J7,189.6,-130.0,0.0,top
J8,226.38,-97.0,90.0,top
L1,223.54,-124.0,90.0,top
POT1,167.6,-114.75,0.0,top
POT2,179.0,-114.75,0.0,top
POT3,190.4,-114.75,0.0,top
POT4,201.9,-114.75,0.0,top
Q1,214.475,-138.085,0.0,top
Q2,219.0,-138.0,0.0,top
Qw1,119.5,-97.675,0.0,top
Qw2,119.5,-105.5,0.0,top
Qw3,128.5,-97.675,0.0,top
Qw4,128.5,-105.5,0.0,top
R1,128.0,-126.51,90.0,top
R2,135.0,-135.49,270.0,top
R3,135.0,-126.51,90.0,top
R4,138.0,-127.51,90.0,top
R7,152.5,-111.5,0.0,top
R8,152.49,-110.5,0.0,top
R9,142.0,-109.0,180.0,top
RBAT1,121.49,-135.0,0.0,top
RBAT2,123.49,-135.0,0.0,top
RCs1,235.55,-124.0,180.0,top
RCs2,234.0,-106.49,90.0,top
RSC0,121.0,-101.51,270.0,top
RSC1,121.0,-109.51,270.0,top
RSC2,130.0,-101.5,270.0,top
RSC3,130.0,-109.49,270.0,top
RSD0,120.0,-101.49,270.0,top
RSD1,120.0,-109.49,270.0,top
RSD2,129.0,-101.5,270.0,top
RSD3,129.0,-109.5,270.0,top
RSE1,235.54,-125.0,180.0,top
RSE2,233.04,-106.51,90.0,top
R_I2C_PULLUP1,152.5,-109.5,180.0,top
R_LED1,194.24,-139.75,0.0,top
R_MOTOR1,245.99,-97.0,180.0,top
R_MTR1,236.0,-106.51,270.0,top
R_MTR2,235.04,-106.49,90.0,top
R_PWR1,235.55,-123.0,0.0,top
R_PWR2,235.57,-122.0,180.0,top
R_PWR_LED1,243.49,-128.0,180.0,top
R_TFT1,110.49,-105.0,180.0,top
R_ZVD_1,210.965,-139.085,180.0,top
R_ZVD_2,210.965,-137.085,0.0,top
Rfbb1,224.04,-135.01,270.0,top
Rfbt1,223.0,-135.0,90.0,top
SW1,236.75,-137.1,270.0,top
SW2,226.54,-106.5,0.0,top
SW3,158.75,-134.75,0.0,top
U1,125.2,-130.86,90.0,top
U2,147.0,-107.5,180.0,top
U4,105.95,-104.0,270.0,top
U5,243.0925,-123.15,0.0,top
U6,235.54,-113.5525,270.0,top
